t,sector,dataType,value
1,1,productionValue,425919.22
1,1,productionVolume,4084.5835
1,1,productDestruction,0.0
1,1,sectorSize,498.0
1,1,speed,NA
1,1,unsoldVolume,1.6437395
1,1,unsoldVolumePositif,1.0
1,2,consumptionBudget,1260508.4
1,2,consumptionValue,1164057.1
1,2,consumptionVolume,14556.683
1,2,laborUsed,396.20462
1,2,maxPrice,209.32266
1,2,minPrice,0.7095653
1,2,price,NA
1,2,productionValue,1991984.5
1,2,productionVolume,19671.596
1,2,productDestruction,126.58659
1,2,sectorSize,506.0
1,2,speed,NA
1,2,unsoldVolume,9463.285
1,2,unsoldVolumePositif,192.0
1,3,consumptionBudget,1126604.9
1,3,consumptionValue,820853.5
1,3,consumptionVolume,8733.559
1,3,laborUsed,459.6313
1,3,maxPrice,212.14896
1,3,minPrice,0.055703644
1,3,price,NA
1,3,productionValue,942182.3
1,3,productionVolume,9423.536
1,3,productDestruction,15.236197
1,3,sectorSize,485.0
1,3,speed,NA
1,3,unsoldVolume,1500.3506
1,3,unsoldVolumePositif,76.0
1,4,consumptionBudget,1347703.8
1,4,consumptionValue,951384.0
1,4,consumptionVolume,8888.571
1,4,laborUsed,475.7572
1,4,maxPrice,210.73445
1,4,minPrice,0.5206784
1,4,price,NA
1,4,productionValue,1012531.7
1,4,productionVolume,9221.496
1,4,productDestruction,0.0
1,4,sectorSize,488.0
1,4,speed,NA
1,4,unsoldVolume,684.8613
1,4,unsoldVolumePositif,50.0
1,5,consumptionBudget,623411.3
1,5,consumptionValue,601812.3
1,5,consumptionVolume,9744.423
1,5,laborUsed,322.3218
1,5,maxPrice,196.06116
1,5,minPrice,0.02444933
1,5,price,NA
1,5,productionValue,1714090.2
1,5,productionVolume,17563.48
1,5,productDestruction,139.68205
1,5,sectorSize,517.0
1,5,speed,NA
1,5,unsoldVolume,14609.214
1,5,unsoldVolumePositif,289.0
1,6,consumptionBudget,1452526.6
1,6,consumptionValue,1056011.6
1,6,consumptionVolume,10986.033
1,6,laborUsed,508.79767
1,6,maxPrice,208.9691
1,6,minPrice,0.2797172
1,6,price,NA
1,6,productionValue,1199691.4
1,6,productionVolume,11793.041
1,6,productDestruction,39.768597
1,6,sectorSize,532.0
1,6,speed,NA
1,6,unsoldVolume,1487.7142
