t,sector,dataType,value
1,4,unsoldVolume,NA
1,4,unsoldVolumePositif,NA
1,5,consumptionBudget,2127413.2
1,5,consumptionValue,NA
1,5,consumptionVolume,NA
1,5,laborUsed,NA
1,5,maxPrice,NA
1,5,minPrice,NA
1,5,price,96.7
1,5,productionValue,3759313.0
1,5,productionVolume,38876.023
1,5,productDestruction,NA
1,5,sectorSize,654.0
1,5,speed,-0.033000004
1,5,unsoldVolume,NA
1,5,unsoldVolumePositif,NA
1,6,consumptionBudget,4612725.0
1,6,consumptionValue,NA
1,6,consumptionVolume,NA
1,6,laborUsed,NA
1,6,maxPrice,NA
1,6,minPrice,NA
1,6,price,103.3
1,6,productionValue,289336.2
1,6,productionVolume,2800.9316
1,6,productDestruction,NA
1,6,sectorSize,70.0
1,6,speed,0.033000004
1,6,unsoldVolume,NA
1,6,unsoldVolumePositif,NA
1,7,consumptionBudget,4434775.0
1,7,consumptionValue,NA
1,7,consumptionVolume,NA
1,7,laborUsed,NA
1,7,maxPrice,NA
1,7,minPrice,NA
1,7,price,96.7
1,7,productionValue,1.3976753E7
1,7,productionVolume,144537.28
1,7,productDestruction,NA
1,7,sectorSize,1981.0
1,7,speed,-0.033000004
1,7,unsoldVolume,NA
1,7,unsoldVolumePositif,NA
1,8,consumptionBudget,2905375.8
1,8,consumptionValue,NA
1,8,consumptionVolume,NA
1,8,laborUsed,NA
1,8,maxPrice,NA
1,8,minPrice,NA
1,8,price,103.3
1,8,productionValue,125165.21
1,8,productionVolume,1211.667
1,8,productDestruction,NA
1,8,sectorSize,33.0
1,8,speed,0.033000004
1,8,unsoldVolume,NA
1,8,unsoldVolumePositif,NA
1,9,consumptionBudget,4551482.5
1,9,consumptionValue,NA
1,9,consumptionVolume,NA
1,9,laborUsed,NA
1,9,maxPrice,NA
1,9,minPrice,NA
1,9,price,103.3
1,9,productionValue,0.0
1,9,productionVolume,0.0
1,9,productDestruction,NA
1,9,sectorSize,0.0
1,9,speed,0.033000004
1,9,unsoldVolume,NA
1,9,unsoldVolumePositif,NA
1,10,consumptionBudget,860451.94
1,10,consumptionValue,NA
1,10,consumptionVolume,NA
1,10,laborUsed,NA
1,10,maxPrice,NA
1,10,minPrice,NA
1,10,price,96.7
1,10,productionValue,2845726.5
1,10,productionVolume,29428.404
1,10,productDestruction,NA
1,10,sectorSize,511.0
1,10,speed,-0.033000004
1,10,unsoldVolume,NA
1,10,unsoldVolumePositif,NA
1,11,consumptionBudget,2719701.2
1,11,consumptionValue,NA
1,11,consumptionVolume,NA
1,11,laborUsed,NA
1,11,maxPrice,NA
1,11,minPrice,NA
1,11,price,96.7
1,11,productionValue,6172702.0
1,11,productionVolume,63833.504
1,11,productDestruction,NA
1,11,sectorSize,994.0
1,11,speed,-0.033000004
1,11,unsoldVolume,NA
1,11,unsoldVolumePositif,NA
1,12,consumptionBudget,4504948.5
1,12,consumptionValue,NA
1,12,consumptionVolume,NA
1,12,laborUsed,NA
1,12,maxPrice,NA
1,12,minPrice,NA
1,12,price,103.3
1,12,productionValue,2822601.5
1,12,productionVolume,27324.316
1,12,productDestruction,NA
1,12,sectorSize,514.0
1,12,speed,0.033000004
1,12,unsoldVolume,NA
1,12,unsoldVolumePositif,NA
1,13,consumptionBudget,3853673.0
1,13,consumptionValue,NA
1,13,consumptionVolume,NA
1,13,laborUsed,NA
1,13,maxPrice,NA
1,13,minPrice,NA
1,13,price,103.3
1,13,productionValue,114036.31
1,13,productionVolume,1103.933
1,13,productDestruction,NA
1,13,sectorSize,31.0
1,13,speed,0.033000004
1,13,unsoldVolume,NA
1,13,unsoldVolumePositif,NA
1,14,consumptionBudget,2422448.8
1,14,consumptionValue,NA
1,14,consumptionVolume,NA
1,14,laborUsed,NA
1,14,maxPrice,NA
1,14,minPrice,NA
1,14,price,103.3
1,14,productionValue,0.0
1,14,productionVolume,0.0
1,14,productDestruction,NA
1,14,sectorSize,0.0
1,14,speed,0.033000004
1,14,unsoldVolume,NA
1,14,unsoldVolumePositif,NA
1,15,consumptionBudget,3826738.2
1,15,consumptionValue,NA
1,15,consumptionVolume,NA
1,15,laborUsed,NA
1,15,maxPrice,NA
1,15,minPrice,NA
1,15,price,103.3
1,15,productionValue,0.0
1,15,productionVolume,0.0
1,15,productDestruction,NA
1,15,sectorSize,0.0
1,15,speed,0.033000004
1,15,unsoldVolume,NA
1,15,unsoldVolumePositif,NA
1,16,consumptionBudget,3417790.8
1,16,consumptionValue,NA
1,16,consumptionVolume,NA
1,16,laborUsed,NA
1,16,maxPrice,NA
1,16,minPrice,NA
1,16,price,103.3
1,16,productionValue,0.0
1,16,productionVolume,0.0
1,16,productDestruction,NA
1,16,sectorSize,0.0
1,16,speed,0.033000004
1,16,unsoldVolume,NA
1,16,unsoldVolumePositif,NA
1,17,consumptionBudget,4268646.0
1,17,consumptionValue,NA
1,17,consumptionVolume,NA
1,17,laborUsed,NA
1,17,maxPrice,NA
1,17,minPrice,NA
1,17,price,96.7
1,17,productionValue,1.9477166E7
1,17,productionVolume,201418.3
1,17,productDestruction,NA
1,17,sectorSize,2560.0
1,17,speed,-0.033000004
1,17,unsoldVolume,NA
1,17,unsoldVolumePositif,NA
1,18,consumptionBudget,1901493.4
1,18,consumptionValue,NA
1,18,consumptionVolume,NA
1,18,laborUsed,NA
1,18,maxPrice,NA
1,18,minPrice,NA
1,18,price,103.3
1,18,productionValue,0.0
1,18,productionVolume,0.0
1,18,productDestruction,NA
1,18,sectorSize,0.0
1,18,speed,0.033000004
1,18,unsoldVolume,NA
1,18,unsoldVolumePositif,NA
1,19,consumptionBudget,760316.3
1,19,consumptionValue,NA
1,19,consumptionVolume,NA
1,19,laborUsed,NA
1,19,maxPrice,NA
1,19,minPrice,NA
1,19,price,96.7
1,19,productionValue,1.0368031E7
1,19,productionVolume,107218.43
1,19,productDestruction,NA
1,19,sectorSize,1550.0
1,19,speed,-0.033000004
1,19,unsoldVolume,NA
1,19,unsoldVolumePositif,NA
2,0,consumptionBudget,3794861.0
2,0,consumptionValue,NA
2,0,consumptionVolume,NA
2,0,laborUsed,NA
2,0,maxPrice,NA
2,0,minPrice,NA
2,0,price,108.41335
2,0,productionValue,2758.5479
2,0,productionVolume,25.444725
2,0,productDestruction,NA
2,0,sectorSize,1.0
2,0,speed,0.049500003
2,0,unsoldVolume,NA
2,0,unsoldVolumePositif,NA
2,1,consumptionBudget,3489567.8
2,1,consumptionValue,NA
2,1,consumptionVolume,NA
